model_id,location,origin_date,horizon,target_end_date,target,output_type,output_type_id,value
nfidd-season-backfill,US National,2015-11-14,1,2015-11-21,ili perc,quantile,0.01,0.44931117357534417
nfidd-season-backfill,US National,2015-11-14,1,2015-11-21,ili perc,quantile,0.025,0.48635922870945825
nfidd-season-backfill,US National,2015-11-14,1,2015-11-21,ili perc,quantile,0.05,0.5158317434678605
nfidd-season-backfill,US National,2015-11-14,1,2015-11-21,ili perc,quantile,0.1,0.5623500371091319
nfidd-season-backfill,US National,2015-11-14,1,2015-11-21,ili perc,quantile,0.15,0.590123497149817
nfidd-season-backfill,US National,2015-11-14,1,2015-11-21,ili perc,quantile,0.2,0.6127117019403562
nfidd-season-backfill,US National,2015-11-14,1,2015-11-21,ili perc,quantile,0.25,0.6462264730724999
nfidd-season-backfill,US National,2015-11-14,1,2015-11-21,ili perc,quantile,0.3,0.657333818535744
nfidd-season-backfill,US National,2015-11-14,1,2015-11-21,ili perc,quantile,0.35,0.6738564763869075
nfidd-season-backfill,US National,2015-11-14,1,2015-11-21,ili perc,quantile,0.4,0.6870150790894669
nfidd-season-backfill,US National,2015-11-14,1,2015-11-21,ili perc,quantile,0.45,0.7018109831968553
nfidd-season-backfill,US National,2015-11-14,1,2015-11-21,ili perc,quantile,0.5,0.7224628184061431
nfidd-season-backfill,US National,2015-11-14,1,2015-11-21,ili perc,quantile,0.55,0.7498816103877429
nfidd-season-backfill,US National,2015-11-14,1,2015-11-21,ili perc,quantile,0.6,0.7638333935730939
nfidd-season-backfill,US National,2015-11-14,1,2015-11-21,ili perc,quantile,0.65,0.7832385547007255
nfidd-season-backfill,US National,2015-11-14,1,2015-11-21,ili perc,quantile,0.7,0.8078400224954086
nfidd-season-backfill,US National,2015-11-14,1,2015-11-21,ili perc,quantile,0.75,0.8300045993098949
nfidd-season-backfill,US National,2015-11-14,1,2015-11-21,ili perc,quantile,0.8,0.8417452549116949
nfidd-season-backfill,US National,2015-11-14,1,2015-11-21,ili perc,quantile,0.85,0.8737610254451338
nfidd-season-backfill,US National,2015-11-14,1,2015-11-21,ili perc,quantile,0.9,0.9076830390300749
nfidd-season-backfill,US National,2015-11-14,1,2015-11-21,ili perc,quantile,0.95,0.9653446809000406
nfidd-season-backfill,US National,2015-11-14,1,2015-11-21,ili perc,quantile,0.975,1.015585462628068
