model_id,location,origin_date,horizon,target_end_date,target,output_type,output_type_id,value
nfidd-base-log,US National,2016-12-24,1,2016-12-31,ili perc,quantile,0.01,1.552341126482807
nfidd-base-log,US National,2016-12-24,1,2016-12-31,ili perc,quantile,0.025,1.5988455029712831
nfidd-base-log,US National,2016-12-24,1,2016-12-31,ili perc,quantile,0.05,1.6397048329289319
nfidd-base-log,US National,2016-12-24,1,2016-12-31,ili perc,quantile,0.1,1.6813322031042224
nfidd-base-log,US National,2016-12-24,1,2016-12-31,ili perc,quantile,0.15,1.7059328272002316
nfidd-base-log,US National,2016-12-24,1,2016-12-31,ili perc,quantile,0.2,1.7242455111943125
nfidd-base-log,US National,2016-12-24,1,2016-12-31,ili perc,quantile,0.25,1.7361614883249263
nfidd-base-log,US National,2016-12-24,1,2016-12-31,ili perc,quantile,0.3,1.7445502115083484
nfidd-base-log,US National,2016-12-24,1,2016-12-31,ili perc,quantile,0.35,1.7507466598567172
nfidd-base-log,US National,2016-12-24,1,2016-12-31,ili perc,quantile,0.4,1.7641133047786464
nfidd-base-log,US National,2016-12-24,1,2016-12-31,ili perc,quantile,0.45,1.7745077764733332
nfidd-base-log,US National,2016-12-24,1,2016-12-31,ili perc,quantile,0.5,1.7891176699021725
nfidd-base-log,US National,2016-12-24,1,2016-12-31,ili perc,quantile,0.55,1.8057319906471228
nfidd-base-log,US National,2016-12-24,1,2016-12-31,ili perc,quantile,0.6,1.8299432961009088
nfidd-base-log,US National,2016-12-24,1,2016-12-31,ili perc,quantile,0.65,1.8430878144156437
nfidd-base-log,US National,2016-12-24,1,2016-12-31,ili perc,quantile,0.7,1.8490505934951433
nfidd-base-log,US National,2016-12-24,1,2016-12-31,ili perc,quantile,0.75,1.875303187007946
nfidd-base-log,US National,2016-12-24,1,2016-12-31,ili perc,quantile,0.8,1.8854720581714133
nfidd-base-log,US National,2016-12-24,1,2016-12-31,ili perc,quantile,0.85,1.9005876875884455
nfidd-base-log,US National,2016-12-24,1,2016-12-31,ili perc,quantile,0.9,1.9191891661648963
nfidd-base-log,US National,2016-12-24,1,2016-12-31,ili perc,quantile,0.95,1.9754680624782917
nfidd-base-log,US National,2016-12-24,1,2016-12-31,ili perc,quantile,0.975,1.996218879094398
nfidd-base-log,US National,2016-12-24,1,2016-12-31,ili perc,quantile,0.99,2.0223734959697115
nfidd-base-log,US National,2016-12-24,2,2017-01-07,ili perc,quantile,0.01,1.552340378885676
nfidd-base-log,US National,2016-12-24,2,2017-01-07,ili perc,quantile,0.025,1.5988463698632631
nfidd-base-log,US National,2016-12-24,2,2017-01-07,ili perc,quantile,0.05,1.6397048878136689
nfidd-base-log,US National,2016-12-24,2,2017-01-07,ili perc,quantile,0.1,1.6813320620446932
nfidd-base-log,US National,2016-12-24,2,2017-01-07,ili perc,quantile,0.15,1.7059330299425037
nfidd-base-log,US National,2016-12-24,2,2017-01-07,ili perc,quantile,0.2,1.7242454582632472
nfidd-base-log,US National,2016-12-24,2,2017-01-07,ili perc,quantile,0.25,1.7361610404989927
nfidd-base-log,US National,2016-12-24,2,2017-01-07,ili perc,quantile,0.3,1.7445500393709517
nfidd-base-log,US National,2016-12-24,2,2017-01-07,ili perc,quantile,0.35,1.7507475792992881
nfidd-base-log,US National,2016-12-24,2,2017-01-07,ili perc,quantile,0.4,1.7641139325023139
nfidd-base-log,US National,2016-12-24,2,2017-01-07,ili perc,quantile,0.45,1.7745075629822582
nfidd-base-log,US National,2016-12-24,2,2017-01-07,ili perc,quantile,0.5,1.7891174723534005
nfidd-base-log,US National,2016-12-24,2,2017-01-07,ili perc,quantile,0.55,1.8057314467000707
nfidd-base-log,US National,2016-12-24,2,2017-01-07,ili perc,quantile,0.6,1.82994296571738
nfidd-base-log,US National,2016-12-24,2,2017-01-07,ili perc,quantile,0.65,1.843088779125579
nfidd-base-log,US National,2016-12-24,2,2017-01-07,ili perc,quantile,0.7,1.8490505964427917
nfidd-base-log,US National,2016-12-24,2,2017-01-07,ili perc,quantile,0.75,1.8753030253626755
nfidd-base-log,US National,2016-12-24,2,2017-01-07,ili perc,quantile,0.8,1.8854720292197746
nfidd-base-log,US National,2016-12-24,2,2017-01-07,ili perc,quantile,0.85,1.9005875123887566
nfidd-base-log,US National,2016-12-24,2,2017-01-07,ili perc,quantile,0.9,1.9191893679073064
nfidd-base-log,US National,2016-12-24,2,2017-01-07,ili perc,quantile,0.95,1.9754673741828483
nfidd-base-log,US National,2016-12-24,2,2017-01-07,ili perc,quantile,0.975,1.996219844070519
nfidd-base-log,US National,2016-12-24,2,2017-01-07,ili perc,quantile,0.99,2.0223736585684873
nfidd-base-log,US National,2016-12-24,3,2017-01-14,ili perc,quantile,0.01,1.5523411268235003
nfidd-base-log,US National,2016-12-24,3,2017-01-14,ili perc,quantile,0.025,1.5988455029923279
nfidd-base-log,US National,2016-12-24,3,2017-01-14,ili perc,quantile,0.05,1.6397048317127916
nfidd-base-log,US National,2016-12-24,3,2017-01-14,ili perc,quantile,0.1,1.681332204292581
nfidd-base-log,US National,2016-12-24,3,2017-01-14,ili perc,quantile,0.15,1.705932827660221
nfidd-base-log,US National,2016-12-24,3,2017-01-14,ili perc,quantile,0.2,1.724245511087244
nfidd-base-log,US National,2016-12-24,3,2017-01-14,ili perc,quantile,0.25,1.7361614884716672
nfidd-base-log,US National,2016-12-24,3,2017-01-14,ili perc,quantile,0.3,1.7445502116489384
nfidd-base-log,US National,2016-12-24,3,2017-01-14,ili perc,quantile,0.35,1.7507466596492645
nfidd-base-log,US National,2016-12-24,3,2017-01-14,ili perc,quantile,0.4,1.7641133047928763
nfidd-base-log,US National,2016-12-24,3,2017-01-14,ili perc,quantile,0.45,1.7745077741237973
nfidd-base-log,US National,2016-12-24,3,2017-01-14,ili perc,quantile,0.5,1.789117668736871
nfidd-base-log,US National,2016-12-24,3,2017-01-14,ili perc,quantile,0.55,1.8057319906555716
nfidd-base-log,US National,2016-12-24,3,2017-01-14,ili perc,quantile,0.6,1.8299432955601724
nfidd-base-log,US National,2016-12-24,3,2017-01-14,ili perc,quantile,0.65,1.8430878147065939
